,conductivity,GUID,run_order,Temp (C) 2,postdata,endpoint,output_cid,LiPF6_molalitt,EC_mass_fraction,DMC_cosolvent_ratio,sampling,expt_time,feeder_volume_valve_derate,feeder_densities,feeder_volumes
93,11.01077687,16C36B42384F79EDEE3A1927B1DE76E7,2,27.16935065,"[('ECEMC3070LiPF61.5', '570-2-0.7'), ('DMCEC7030LiPF61.5', '1140-1-0.7'), ('ECEMC5050LiPF61.5', '190-5-0.7')]",RUNfast_derated2,DMC_EC_EMC|42_32_26|LiPF6|1.5,1.5,0.32,0.617647059,BO,16,"[('EC_EMC|30_70|LiPF6|1.5', '570-2-0.7'), ('DMC_EC|70_30|LiPF6|1.5', '1140-1-0.7'), ('EC_EMC|50_50|LiPF6|1.5', '190-5-0.7')]","{'DMC_EC|70_30|LiPF6|1.5': 1.27, 'EC_EMC|30_70|LiPF6|1.5': 1.225, 'EC_EMC|50_50|LiPF6|1.5': 1.287}","{'EC_EMC|30_70|LiPF6|1.5': 570, 'DMC_EC|70_30|LiPF6|1.5': 1140, 'EC_EMC|50_50|LiPF6|1.5': 190}"
94,10.96523655,39D3518ABDBCC6F58D56832EB86D48B4,3,27.11688312,"[('ECEMC3070LiPF61.5', '570-2-0.7'), ('DMCEC7030LiPF61.5', '1140-1-0.7'), ('ECEMC5050LiPF61.5', '190-5-0.7')]",RUNfast_derated2,DMC_EC_EMC|42_32_26|LiPF6|1.5,1.5,0.32,0.617647059,BO,16,"[('EC_EMC|30_70|LiPF6|1.5', '570-2-0.7'), ('DMC_EC|70_30|LiPF6|1.5', '1140-1-0.7'), ('EC_EMC|50_50|LiPF6|1.5', '190-5-0.7')]","{'DMC_EC|70_30|LiPF6|1.5': 1.27, 'EC_EMC|30_70|LiPF6|1.5': 1.225, 'EC_EMC|50_50|LiPF6|1.5': 1.287}","{'EC_EMC|30_70|LiPF6|1.5': 570, 'DMC_EC|70_30|LiPF6|1.5': 1140, 'EC_EMC|50_50|LiPF6|1.5': 190}"
95,13.5860319,D48E9E0D8CC4173AE4B3277BE66CB0B7,1,27.24155844,"[('DMCEC7030', '380-18-0.9'), ('DMCEC7030LiPF61.5', '1520-1-0.7')]",RUNfast_derated2,DMC_EC|70_30|LiPF6|1.18,1.18,0.3,1,BO,13,"[('DMC_EC|70_30', '380-18-0.9'), ('DMC_EC|70_30|LiPF6|1.5', '1520-1-0.7')]","{'DMC_EC|70_30|LiPF6|1.5': 1.27, 'DMC_EC|70_30': 1.14}","{'DMC_EC|70_30': 380, 'DMC_EC|70_30|LiPF6|1.5': 1520}"
96,13.29486332,D4A8A2191165203E99CB75D9AC991821,2,27.18493506,"[('DMCEC7030', '380-18-0.9'), ('DMCEC7030LiPF61.5', '1520-1-0.7')]",RUNfast_derated2,DMC_EC|70_30|LiPF6|1.18,1.18,0.3,1,BO,13,"[('DMC_EC|70_30', '380-18-0.9'), ('DMC_EC|70_30|LiPF6|1.5', '1520-1-0.7')]","{'DMC_EC|70_30|LiPF6|1.5': 1.27, 'DMC_EC|70_30': 1.14}","{'DMC_EC|70_30': 380, 'DMC_EC|70_30|LiPF6|1.5': 1520}"
97,13.29486332,D4A8A2191165203E99CB75D9AC991821,2,27.18493506,"[('DMCEC7030', '380-18-0.9'), ('DMCEC7030LiPF61.5', '1520-1-0.7')]",RUNfast_derated2,DMC_EC|70_30|LiPF6|1.18,1.18,0.3,1,BO,13,"[('DMC_EC|70_30', '380-18-0.9'), ('DMC_EC|70_30|LiPF6|1.5', '1520-1-0.7')]","{'DMC_EC|70_30|LiPF6|1.5': 1.27, 'DMC_EC|70_30': 1.14}","{'DMC_EC|70_30': 380, 'DMC_EC|70_30|LiPF6|1.5': 1520}"
98,13.22877084,1AC9D3D166D2CA27971C5BD894D45CAC,1,26.79116883,"[('DMCEC7030', '380-18-0.9'), ('DMCEC5050', '190-19-0.9'), ('DMCEC7030LiPF61.5', '1330-1-0.7')]",RUNfast_derated2,DMC_EC|68_32|LiPF6|1.01,1.01,0.32,1,BO,15,"[('DMC_EC|70_30', '380-18-0.9'), ('DMC_EC|50_50', '190-19-0.9'), ('DMC_EC|70_30|LiPF6|1.5', '1330-1-0.7')]","{'DMC_EC|70_30|LiPF6|1.5': 1.27, 'DMC_EC|50_50': 1.192, 'DMC_EC|70_30': 1.14}","{'DMC_EC|70_30': 380, 'DMC_EC|50_50': 190, 'DMC_EC|70_30|LiPF6|1.5': 1330}"
99,13.35846863,1704AFA99D938947143577B689A447A7,2,26.86597403,"[('DMCEC7030', '380-18-0.9'), ('DMCEC5050', '190-19-0.9'), ('DMCEC7030LiPF61.5', '1330-1-0.7')]",RUNfast_derated2,DMC_EC|68_32|LiPF6|1.01,1.01,0.32,1,BO,17,"[('DMC_EC|70_30', '380-18-0.9'), ('DMC_EC|50_50', '190-19-0.9'), ('DMC_EC|70_30|LiPF6|1.5', '1330-1-0.7')]","{'DMC_EC|70_30|LiPF6|1.5': 1.27, 'DMC_EC|50_50': 1.192, 'DMC_EC|70_30': 1.14}","{'DMC_EC|70_30': 380, 'DMC_EC|50_50': 190, 'DMC_EC|70_30|LiPF6|1.5': 1330}"
100,12.89762957,395167E1BC773E5A51083C3A713D2D5A,3,26.93714286,"[('DMCEC7030', '380-18-0.9'), ('DMCEC5050', '190-19-0.9'), ('DMCEC7030LiPF61.5', '1330-1-0.7')]",RUNfast_derated2,DMC_EC|68_32|LiPF6|1.01,1.01,0.32,1,BO,16,"[('DMC_EC|70_30', '380-18-0.9'), ('DMC_EC|50_50', '190-19-0.9'), ('DMC_EC|70_30|LiPF6|1.5', '1330-1-0.7')]","{'DMC_EC|70_30|LiPF6|1.5': 1.27, 'DMC_EC|50_50': 1.192, 'DMC_EC|70_30': 1.14}","{'DMC_EC|70_30': 380, 'DMC_EC|50_50': 190, 'DMC_EC|70_30|LiPF6|1.5': 1330}"
101,13.26833829,BBED77B4BAFC3884BD076AD7B4E20787,1,27.13974026,"[('DMCEC5050', '760-19-0.9'), ('DMCEC5050LiPF61.5', '1140-7-0.7')]",RUNfast_derated2,DMC_EC|50_50|LiPF6|0.86,0.86,0.5,1,BO,12,"[('DMC_EC|50_50', '760-19-0.9'), ('DMC_EC|50_50|LiPF6|1.5', '1140-7-0.7')]","{'DMC_EC|50_50|LiPF6|1.5': 1.323, 'DMC_EC|50_50': 1.192}","{'DMC_EC|50_50': 760, 'DMC_EC|50_50|LiPF6|1.5': 1140}"
102,13.0564453,1D6A9EB87C1C58D1D856C6F59558E9D9,2,27.13142857,"[('DMCEC5050', '760-19-0.9'), ('DMCEC5050LiPF61.5', '1140-7-0.7')]",RUNfast_derated2,DMC_EC|50_50|LiPF6|0.86,0.86,0.5,1,BO,13,"[('DMC_EC|50_50', '760-19-0.9'), ('DMC_EC|50_50|LiPF6|1.5', '1140-7-0.7')]","{'DMC_EC|50_50|LiPF6|1.5': 1.323, 'DMC_EC|50_50': 1.192}","{'DMC_EC|50_50': 760, 'DMC_EC|50_50|LiPF6|1.5': 1140}"
